customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,customer_region_Nordeste,customer_region_Norte,customer_region_Sudeste,customer_region_Sul
20,63,480.86,6,78.88,5,9,1,53.38,2,3,7,6,True,False,False,False
46,107,262.36,5,17.48,3,9,4,32.72,1,2,3,4,False,False,False,False
49,11,507.4,1,30.22,1,11,2,35.66,1,1,9,3,False,False,False,False
39,74,146.24,1,51.07,11,13,4,24.21,3,1,11,3,False,False,False,True
32,16,868.25,1,4.04,11,8,1,37.17,2,0,0,2,False,False,True,False
35,1,509.15,4,43.33,3,7,0,13.4,2,2,4,4,False,False,True,False
49,89,14.58,3,2.02,3,14,1,48.92,1,3,2,6,False,False,False,False
24,84,585.2,4,22.78,2,7,3,27.12,3,0,8,3,False,False,True,False
53,103,139.18,1,21.63,5,6,4,19.4,2,2,3,5,False,True,False,False
19,9,606.49,5,39.05,1,2,2,46.72,1,0,8,3,False,False,True,False
37,112,314.71,2,12.11,7,5,2,41.56,1,1,1,4,False,False,True,False
58,46,80.57,5,16.79,2,13,2,47.61,3,3,4,6,False,False,False,False
63,119,744.34,4,26.13,6,12,1,41.09,2,2,3,3,False,False,True,False
34,80,839.76,3,84.87,2,9,0,59.14,1,1,0,1,False,False,False,False
24,96,902.94,2,5.18,8,5,4,51.8,2,2,3,5,False,False,False,False
64,35,327.51,3,15.55,8,8,2,32.65,1,1,2,2,False,False,False,True
18,70,45.74,3,3.66,10,2,2,44.48,1,2,10,4,False,False,False,False
35,51,151.61,4,8.24,11,11,2,34.98,3,3,3,7,False,False,False,True
57,90,122.34,4,44.0,6,6,2,25.19,2,1,6,3,True,False,False,False
33,108,271.42,2,46.12,9,11,4,18.8,3,2,7,7,False,True,False,False
42,57,327.87,4,3.25,8,14,0,39.05,1,2,7,3,False,False,False,True
45,7,354.57,1,8.33,8,4,1,41.3,2,1,5,3,False,False,False,False
21,18,90.99,1,16.18,9,9,3,45.33,3,1,5,4,False,False,True,False
43,83,1079.8,5,3.03,2,4,1,22.26,1,1,3,2,False,False,False,False
65,60,212.08,1,18.06,1,14,2,30.82,3,1,7,3,False,True,False,False
57,87,932.07,5,3.24,5,7,3,39.47,2,2,9,4,False,True,False,False
52,70,70.01,1,29.14,11,12,0,44.01,2,2,4,3,True,False,False,False
42,32,427.42,4,14.98,8,6,2,27.84,1,3,7,5,True,False,False,False
36,5,93.14,1,22.09,1,7,0,32.88,3,3,5,4,True,False,False,False
43,6,638.11,4,16.38,9,8,3,41.36,2,2,11,4,True,False,False,False
37,113,310.47,6,20.03,5,12,2,32.04,1,2,3,5,False,False,True,False
34,26,353.5,2,42.17,5,2,1,47.19,2,1,11,4,False,True,False,False
52,17,140.96,3,6.84,6,13,1,25.31,3,0,6,1,False,True,False,False
45,27,700.58,6,57.29,1,13,0,6.77,3,1,2,2,False,False,False,True
66,51,137.59,1,7.86,1,9,1,40.4,2,1,6,3,False,True,False,False
19,109,204.54,6,31.81,9,5,1,27.54,2,1,9,3,False,False,True,False
29,108,353.11,3,6.9,10,11,1,21.32,3,3,8,5,False,False,False,True
24,95,576.06,5,47.06,6,4,1,23.26,2,1,4,4,False,False,False,False
32,71,199.41,1,12.09,11,5,3,21.15,2,0,2,8,False,False,True,False
31,109,657.9,1,6.58,10,6,2,22.92,3,1,9,2,True,False,False,False
65,10,1089.9,2,9.48,2,14,1,29.37,2,5,5,7,False,False,True,False
29,58,525.95,5,9.27,6,11,0,47.18,1,1,1,4,False,False,False,True
38,72,450.17,3,41.27,5,3,1,30.13,3,2,4,5,False,True,False,False
18,24,139.8,1,12.35,6,11,3,28.03,2,2,0,5,False,False,False,False
35,62,249.43,6,19.09,9,9,2,40.37,2,5,0,7,False,False,True,False
31,69,430.78,1,0.14,6,4,4,34.31,3,2,0,5,False,False,False,False
32,22,215.21,4,17.68,7,12,2,62.75,2,3,11,6,False,True,False,False
69,53,198.64,2,24.32,5,3,3,57.25,2,3,5,8,True,False,False,False
24,94,313.25,1,3.01,7,6,1,34.23,2,3,11,5,False,True,False,False
20,56,273.02,2,5.68,1,14,2,35.27,3,2,6,5,False,False,True,False
46,20,585.77,5,48.92,8,14,3,40.15,1,2,10,5,False,False,False,True
29,10,531.99,6,47.06,7,5,1,36.61,2,1,3,5,False,False,False,True
23,76,459.81,2,35.71,8,2,1,17.47,2,0,7,3,False,True,False,False
46,110,859.06,2,103.57,4,14,2,50.94,3,1,4,3,False,False,False,True
44,52,114.65,1,28.48,2,8,3,48.27,2,2,3,4,False,True,False,False
65,82,534.72,3,7.53,5,5,1,54.62,2,1,7,2,False,True,False,False
23,5,574.05,5,13.18,6,14,2,32.32,2,2,8,4,False,False,False,False
65,69,233.71,4,160.42,6,12,2,36.9,1,0,6,1,False,True,False,False
64,67,142.52,2,138.9,5,2,1,31.06,2,1,0,4,True,False,False,False
39,16,309.91,3,9.87,7,13,2,16.17,1,2,9,4,False,False,False,True
62,101,495.79,6,19.17,11,8,3,20.88,2,4,10,7,False,True,False,False
35,98,666.94,3,6.9,5,9,2,33.55,1,2,10,3,False,False,False,False
52,12,173.52,6,14.92,4,12,3,29.28,2,2,11,6,False,False,True,False
47,45,283.67,5,2.08,8,8,4,51.2,2,2,1,7,False,False,False,False
21,83,599.12,1,45.86,7,14,3,30.1,2,4,9,6,False,True,False,False
64,7,59.81,4,64.05,3,9,1,34.68,2,3,5,5,False,False,False,False
43,41,984.67,1,9.23,9,7,2,47.73,3,1,9,6,True,False,False,False
48,118,87.65,1,42.86,9,2,1,29.91,3,1,9,3,False,False,True,False
21,36,267.36,3,7.79,4,3,1,32.04,2,1,0,4,False,True,False,False
45,96,421.83,3,75.88,8,9,0,65.26,3,4,5,6,False,False,False,False
59,98,340.23,3,48.81,5,8,3,25.09,2,2,0,4,False,False,False,False
41,46,860.86,6,41.13,5,3,1,16.81,1,0,7,2,True,False,False,False
33,55,569.36,2,1.09,9,7,1,21.15,1,0,11,1,False,False,True,False
49,112,373.64,6,31.31,1,14,2,19.46,3,0,2,2,False,False,False,False
43,84,174.71,3,11.93,2,12,3,7.18,1,1,5,3,False,False,True,False
25,22,549.08,1,27.15,7,13,1,13.41,2,3,9,5,False,False,True,False
55,68,384.16,1,25.68,3,2,0,53.81,1,1,8,3,False,True,False,False
25,77,495.99,4,1.15,5,3,2,56.66,3,1,5,3,False,False,True,False
35,92,211.04,1,30.35,8,3,1,25.04,3,3,8,5,False,False,False,False
41,59,587.06,5,18.96,2,11,2,62.51,1,0,1,1,False,False,False,False
46,40,296.12,5,35.36,9,6,2,37.51,3,1,7,3,False,False,True,False
36,58,242.06,3,33.33,6,2,6,39.08,3,3,5,5,False,False,False,False
68,116,177.39,4,44.7,10,8,3,34.29,2,2,8,4,False,False,True,False
57,57,700.61,1,5.55,3,7,0,14.32,2,2,9,2,False,True,False,False
64,34,340.75,2,17.28,3,2,5,33.78,3,1,3,3,False,True,False,False
38,43,125.72,5,31.8,6,8,3,30.99,1,1,0,4,True,False,False,False
68,70,161.54,5,3.28,2,11,3,52.24,2,3,3,7,False,True,False,False
23,42,746.51,3,11.48,9,9,4,46.99,2,2,9,5,False,False,False,True
26,16,557.83,1,5.36,3,6,4,62.54,3,1,9,4,False,False,False,True
40,25,140.08,3,34.02,6,9,3,46.82,3,2,9,4,False,True,False,False
45,65,378.77,6,50.4,2,9,4,24.48,2,1,10,5,False,False,True,False
24,99,351.61,4,86.68,10,6,3,40.07,1,2,5,5,True,False,False,False
43,74,72.55,5,3.81,11,8,5,22.71,3,4,8,9,True,False,False,False
55,115,606.43,2,21.28,5,11,2,42.09,1,2,7,4,False,False,False,True
67,50,288.97,1,0.56,5,6,1,34.25,3,0,6,3,False,False,False,False
53,18,96.58,2,51.15,9,11,0,66.26,3,1,8,2,False,False,False,True
21,53,86.61,3,24.56,6,2,1,37.32,3,0,11,1,False,False,True,False
34,119,489.49,6,8.44,3,3,3,24.72,2,2,2,4,True,False,False,False
50,103,223.1,6,12.28,10,14,1,54.77,2,4,10,7,False,False,True,False
41,5,382.78,5,10.93,5,8,1,35.44,2,1,9,2,False,False,False,True
46,50,805.66,1,8.06,1,6,2,42.07,3,4,11,7,False,False,True,False
68,100,1043.98,5,22.48,8,7,3,46.3,1,0,4,3,True,False,False,False
29,86,634.48,2,0.34,1,13,3,45.06,3,0,6,3,False,False,False,False
56,63,927.18,1,20.25,4,12,1,41.54,2,1,6,2,True,False,False,False
54,27,56.94,3,14.17,4,9,3,40.11,3,2,7,4,False,True,False,False
62,112,470.04,6,72.19,2,9,1,34.2,1,1,8,3,True,False,False,False
27,70,323.7,1,1.81,10,4,0,49.08,3,5,3,8,False,False,False,False
57,118,392.74,5,41.08,2,3,3,55.88,3,1,2,5,False,False,False,True
48,20,588.82,3,207.47,10,10,1,49.12,3,1,0,2,True,False,False,False
65,42,325.39,2,23.91,4,4,0,31.52,1,0,11,1,False,False,False,True
49,79,395.52,4,0.96,10,8,5,33.91,3,2,8,4,False,True,False,False
18,107,394.49,3,36.81,2,7,2,28.61,3,1,3,3,False,True,False,False
57,19,384.43,5,1.58,2,10,3,41.19,2,2,10,7,False,False,True,False
32,13,268.19,3,13.61,4,6,2,36.91,2,4,6,6,True,False,False,False
48,29,626.9,3,2.92,10,10,3,45.5,2,1,0,3,False,False,False,False
35,88,262.83,1,23.37,10,12,2,56.27,1,2,6,4,False,False,True,False
47,52,189.76,3,107.58,2,4,1,32.21,2,1,0,5,False,False,False,False
63,55,657.9,1,112.83,3,8,4,37.82,1,0,2,3,False,False,False,False
20,97,225.35,6,39.43,3,10,1,20.51,1,0,0,2,False,False,True,False
37,54,1463.84,5,16.9,7,3,3,26.05,3,2,0,4,False,True,False,False
57,63,1153.7,4,5.89,7,8,4,39.96,2,3,6,5,False,False,True,False
66,77,978.28,2,2.27,1,4,3,31.69,1,0,1,3,False,False,True,False
20,78,618.38,6,15.23,10,3,1,42.32,2,0,4,3,False,True,False,False
63,8,166.82,6,30.74,2,13,2,36.11,1,1,6,3,False,False,False,True
26,89,845.79,2,4.21,3,9,2,46.93,2,0,2,2,False,False,False,False
66,109,995.58,2,7.05,6,8,1,49.77,3,2,11,6,False,False,True,False
60,25,252.85,4,1.99,11,8,2,24.37,2,1,9,4,False,False,False,True
58,77,492.78,4,53.03,3,13,2,5.51,3,0,8,2,False,False,True,False
27,42,165.19,5,52.82,5,10,1,63.92,3,0,8,2,False,False,True,False
54,77,247.08,6,6.83,3,12,3,50.98,1,0,9,2,False,False,False,True
23,14,99.21,4,12.41,9,11,3,45.7,3,0,6,1,False,False,True,False
57,31,703.68,3,12.83,10,11,2,49.9,1,1,9,4,False,False,False,True
50,71,254.14,6,69.59,7,4,1,55.49,3,0,9,3,False,True,False,False
25,113,164.58,5,5.7,3,8,3,28.1,2,1,3,5,False,False,False,False
57,111,265.48,5,12.86,2,2,4,38.92,3,0,10,4,False,False,True,False
33,46,497.13,3,0.52,3,13,2,27.68,1,1,2,6,False,False,True,False
55,33,402.01,4,40.75,1,3,0,21.99,3,2,4,3,True,False,False,False
63,34,351.85,4,93.53,9,8,0,26.69,3,1,10,2,False,True,False,False
35,109,420.94,1,16.51,4,11,1,34.16,3,1,0,2,True,False,False,False
65,34,570.71,4,51.49,11,14,2,41.51,3,3,5,6,False,True,False,False
31,14,396.86,5,21.37,10,8,1,28.29,3,0,2,1,False,True,False,False
69,73,483.66,2,20.82,10,3,3,39.08,3,1,7,5,False,False,True,False
56,22,399.72,2,8.74,2,9,3,20.15,2,2,3,4,True,False,False,False
51,49,51.11,2,59.81,3,10,0,40.03,1,1,9,3,False,True,False,False
27,115,704.45,6,2.81,7,6,0,33.35,1,4,5,6,True,False,False,False
58,106,198.12,6,28.95,2,14,3,55.7,1,2,9,8,False,True,False,False
51,23,328.82,1,0.75,7,13,0,47.72,1,0,5,0,True,False,False,False
57,77,466.75,3,1.87,2,12,2,46.1,3,4,3,8,False,False,False,True
57,32,340.1,3,55.26,3,4,3,51.14,1,0,10,2,False,True,False,False
26,39,454.09,3,38.58,5,9,1,30.62,1,1,3,3,False,True,False,False
26,46,512.0,5,34.04,10,2,3,69.43,3,4,8,6,False,False,False,True
33,51,214.33,5,70.78,2,3,1,47.78,3,1,1,3,False,True,False,False
21,87,92.04,5,79.35,1,7,3,10.23,1,4,11,7,True,False,False,False
46,34,212.21,2,4.0,8,7,1,21.95,2,1,0,2,False,False,False,True
56,1,465.65,4,20.19,6,14,1,33.41,2,2,2,4,False,False,False,False
40,60,121.56,3,91.95,6,6,3,24.88,2,1,9,3,False,False,False,True
42,74,488.17,6,2.58,11,14,3,43.77,2,0,3,2,True,False,False,False
19,117,425.6,1,22.71,7,9,1,24.34,2,0,10,4,False,True,False,False
39,95,789.52,1,2.17,3,12,4,43.12,3,0,11,3,False,False,False,True
25,37,683.67,5,7.12,4,3,3,37.46,1,1,7,7,False,False,True,False
27,20,567.28,4,13.3,2,9,4,42.81,2,1,0,3,False,False,True,False
26,93,563.3,6,14.66,6,12,5,37.95,3,1,4,4,False,False,False,False
63,111,686.74,5,0.49,3,3,1,42.24,3,0,3,2,False,False,False,True
31,76,1135.28,6,0.48,10,10,2,36.32,3,2,0,4,False,False,False,False
50,89,143.7,3,2.63,2,14,1,23.55,3,2,6,5,False,False,True,False
52,118,441.65,3,17.45,9,6,2,23.52,1,3,6,6,False,True,False,False
49,7,94.23,1,21.63,3,7,1,58.3,3,1,11,3,True,False,False,False
36,50,135.24,4,14.51,4,8,5,44.62,2,3,3,7,True,False,False,False
45,37,367.39,2,6.45,3,2,1,40.54,2,2,4,6,True,False,False,False
64,28,359.49,2,11.01,11,9,0,26.18,2,2,9,3,False,True,False,False
42,48,253.67,3,11.0,9,14,4,51.28,1,3,4,6,True,False,False,False
25,73,328.62,5,43.11,10,12,6,44.36,2,2,7,5,False,False,False,True
41,80,420.4,4,23.1,7,4,7,19.06,2,1,0,4,False,False,True,False
25,28,489.75,6,48.15,10,13,3,39.18,2,0,1,3,False,True,False,False
41,116,233.15,6,12.3,5,2,4,37.59,2,1,0,4,False,False,True,False
45,100,634.33,1,7.76,4,13,1,43.16,3,0,11,1,False,True,False,False
31,5,100.37,5,22.53,2,14,3,34.02,2,1,8,4,False,False,True,False
19,91,288.4,5,88.04,7,12,1,48.47,2,2,5,5,False,False,False,True
49,23,454.98,6,15.8,10,5,4,49.35,2,1,8,4,False,False,False,True
69,70,893.62,2,2.97,8,4,1,51.42,1,1,3,2,True,False,False,False
60,8,170.39,3,23.19,8,6,2,40.78,3,2,0,6,True,False,False,False
27,99,107.11,1,52.64,2,10,3,44.49,1,1,7,3,False,False,False,True
43,113,277.63,2,29.58,4,8,0,39.39,3,0,3,0,False,False,False,True
62,67,830.23,3,15.41,3,6,2,55.98,3,2,0,5,False,False,False,False
66,70,222.66,5,90.42,7,12,1,45.86,2,1,1,4,False,False,True,False
44,31,574.18,1,8.43,10,5,4,37.68,1,1,6,3,False,False,False,True
51,71,660.28,1,7.44,2,13,2,38.91,2,1,1,5,False,False,False,False
43,53,101.0,5,12.18,2,14,2,40.28,2,1,9,5,True,False,False,False
66,82,535.69,3,33.85,5,12,3,41.93,1,1,5,4,True,False,False,False
58,89,237.2,6,17.28,3,9,3,35.43,1,1,6,4,False,False,False,True
52,79,265.26,1,12.38,8,4,4,47.96,2,2,9,5,False,False,False,False
26,19,406.5,5,54.26,6,12,3,42.29,2,2,10,7,False,False,True,False
47,113,747.45,3,37.37,11,6,3,34.84,2,1,4,4,False,False,False,False
46,115,770.46,6,38.04,8,8,2,32.27,2,1,8,4,False,False,False,False
21,41,655.66,5,47.57,5,2,2,31.26,3,2,9,3,False,True,False,False
56,75,504.77,5,47.68,3,12,4,27.05,3,1,2,5,True,False,False,False
57,79,148.33,3,14.65,2,12,5,19.29,1,0,9,4,False,False,False,True
51,11,198.35,2,24.65,6,11,4,48.14,2,1,7,3,False,True,False,False
41,27,174.36,6,8.07,1,7,1,24.65,2,1,1,2,False,True,False,False
35,37,106.19,6,67.64,8,5,2,30.83,1,1,8,4,False,True,False,False
36,74,347.39,4,69.59,10,14,1,50.03,2,0,4,1,False,False,False,True
67,87,713.9,3,77.99,3,6,0,44.64,3,1,10,2,False,False,True,False
49,78,378.25,3,9.49,9,6,1,41.39,1,4,0,6,False,True,False,False
19,73,534.5,4,2.36,11,13,0,44.0,3,0,11,0,True,False,False,False
58,11,47.07,1,50.24,3,7,2,32.58,1,1,11,4,False,True,False,False
57,114,446.55,2,69.16,9,13,2,32.84,1,4,4,7,False,False,False,False
29,80,212.03,1,66.52,6,2,6,42.64,1,1,3,4,False,False,True,False
38,12,347.19,3,22.72,8,5,4,40.81,1,1,10,3,False,True,False,False
47,77,104.16,3,94.87,7,2,2,44.98,2,0,5,4,False,True,False,False
24,83,332.99,1,8.77,8,12,1,47.3,2,1,10,2,False,True,False,False
55,108,339.6,3,3.83,7,9,1,34.93,2,1,9,3,True,False,False,False
67,6,752.2,2,86.4,5,13,4,37.27,1,2,1,4,False,False,False,True
43,19,224.28,1,18.44,5,9,1,26.18,3,2,1,4,False,False,True,False
42,81,431.58,1,23.33,7,4,3,42.27,3,1,7,5,True,False,False,False
34,13,1036.63,6,34.79,6,3,3,45.96,1,0,5,3,False,True,False,False
60,62,414.12,2,20.7,2,12,1,41.65,3,2,10,5,False,False,False,True
66,12,737.43,1,23.05,7,3,2,2.62,2,2,7,6,False,False,True,False
27,93,394.47,4,107.98,10,11,2,37.46,3,1,3,2,True,False,False,False
34,8,75.6,1,72.81,8,8,1,37.31,1,0,4,1,False,True,False,False
47,48,470.3,5,30.46,8,5,1,32.18,3,1,2,5,False,False,False,False
53,60,176.94,6,26.78,4,7,3,47.93,2,1,2,2,False,False,False,True
41,87,145.53,2,20.66,3,7,0,67.84,2,1,2,2,False,False,False,False
59,20,213.59,1,8.28,4,6,5,57.03,1,1,5,3,False,True,False,False
44,119,317.4,6,28.2,6,11,1,38.22,1,1,0,3,False,True,False,False
25,42,529.51,6,39.41,9,2,3,40.72,3,1,1,4,True,False,False,False
31,119,1064.25,2,15.38,1,2,3,26.74,2,0,9,3,False,False,True,False
36,52,1578.5,2,46.19,8,6,3,23.67,1,1,11,4,False,True,False,False
25,105,240.45,2,48.0,4,14,1,37.37,3,0,6,5,False,True,False,False
37,30,627.83,1,89.05,6,6,3,49.16,3,1,8,3,False,False,True,False
65,111,170.67,2,0.48,3,9,2,42.01,2,1,2,3,False,False,False,False
47,106,196.19,2,8.38,2,12,0,32.48,1,1,8,4,True,False,False,False
40,61,308.68,5,20.69,1,8,0,36.98,2,0,4,1,False,True,False,False
63,94,561.21,1,4.34,9,8,0,39.86,1,2,3,4,False,False,True,False
36,25,557.64,6,3.34,3,2,5,41.44,2,3,5,7,True,False,False,False
54,33,237.49,4,58.24,7,13,3,50.09,3,2,9,5,False,False,False,False
43,81,926.04,1,50.74,7,11,2,32.37,1,1,1,3,True,False,False,False
51,117,274.65,3,15.97,1,6,3,39.41,1,0,5,3,False,False,False,True
59,59,578.24,4,17.71,11,5,0,35.58,3,3,8,5,True,False,False,False
21,26,590.92,4,19.14,3,7,1,32.13,3,1,3,4,True,False,False,False
52,108,405.33,3,19.48,8,13,3,42.27,2,1,8,4,False,True,False,False
64,61,981.65,2,11.46,8,8,2,33.33,3,2,2,4,True,False,False,False
53,2,285.98,4,2.03,10,3,3,36.07,1,2,11,5,True,False,False,False
55,82,621.1,2,53.62,10,2,1,37.52,2,1,5,3,False,False,False,False
61,21,1014.41,4,16.82,11,11,5,31.57,2,1,1,3,True,False,False,False
33,46,439.41,4,0.95,2,2,1,16.95,3,3,11,6,True,False,False,False
41,63,701.89,1,2.79,7,10,2,54.23,3,0,3,2,False,True,False,False
29,95,325.34,3,21.69,1,5,3,10.26,1,3,6,7,False,False,True,False
48,49,654.59,2,77.13,8,6,3,39.92,2,2,4,6,False,True,False,False
35,30,408.93,6,29.91,4,2,5,25.09,3,1,5,3,True,False,False,False
67,60,1132.9,2,37.85,1,7,4,44.91,2,3,3,6,False,False,True,False
40,37,180.12,3,7.45,6,6,2,14.12,1,2,5,6,False,False,False,True
62,24,883.71,1,3.49,3,10,2,23.97,2,1,5,4,False,False,False,True
58,108,478.26,4,0.69,4,11,2,37.09,2,2,4,7,False,False,False,True
33,59,245.0,3,0.41,6,4,2,51.43,2,3,6,5,True,False,False,False
31,40,393.2,5,6.54,3,14,2,33.2,3,0,9,2,False,False,True,False
37,23,662.34,4,33.55,6,7,4,32.87,1,3,8,5,False,True,False,False
47,76,93.2,6,10.29,6,3,3,46.24,2,1,4,3,False,True,False,False
